run_id,bloque,condicion,repeticion,scene,waypoints,checkpoint,mobility_mode,percepcion_online,adjustments_file,spawn_profile,reutilizacion,status,valid,termination,last_wp,results_dir,notes
DENS_ALTA_01,densidad,alta,1,/home/robcib/Desktop/MARIAM/scenarios/nave_densidad_alta.usd,/home/robcib/Desktop/MARIAM/resultados_tfg/00_configuracion/waypoints/waypoints_normal.csv,/home/robcib/g1_labcompatible/unitree_rl_lab/logs/rsl_rl/unitree_g1_29dof_velocity/giro_terrenoirregular/model_49700.pt,uninformed,si,,general,uninformed;mapa_normal,PENDIENTE,,,,/home/robcib/Desktop/MARIAM/resultados_tfg/01_pruebas_oficiales/densidad/alta/DENS_ALTA_01,
DENS_ALTA_02,densidad,alta,2,/home/robcib/Desktop/MARIAM/scenarios/nave_densidad_alta.usd,/home/robcib/Desktop/MARIAM/resultados_tfg/00_configuracion/waypoints/waypoints_normal.csv,/home/robcib/g1_labcompatible/unitree_rl_lab/logs/rsl_rl/unitree_g1_29dof_velocity/giro_terrenoirregular/model_49700.pt,uninformed,si,,general,uninformed;mapa_normal,PENDIENTE,,,,/home/robcib/Desktop/MARIAM/resultados_tfg/01_pruebas_oficiales/densidad/alta/DENS_ALTA_02,
DENS_ALTA_03,densidad,alta,3,/home/robcib/Desktop/MARIAM/scenarios/nave_densidad_alta.usd,/home/robcib/Desktop/MARIAM/resultados_tfg/00_configuracion/waypoints/waypoints_normal.csv,/home/robcib/g1_labcompatible/unitree_rl_lab/logs/rsl_rl/unitree_g1_29dof_velocity/giro_terrenoirregular/model_49700.pt,uninformed,si,,general,uninformed;mapa_normal,PENDIENTE,,,,/home/robcib/Desktop/MARIAM/resultados_tfg/01_pruebas_oficiales/densidad/alta/DENS_ALTA_03,
DENS_ALTA_04,densidad,alta,4,/home/robcib/Desktop/MARIAM/scenarios/nave_densidad_alta.usd,/home/robcib/Desktop/MARIAM/resultados_tfg/00_configuracion/waypoints/waypoints_normal.csv,/home/robcib/g1_labcompatible/unitree_rl_lab/logs/rsl_rl/unitree_g1_29dof_velocity/giro_terrenoirregular/model_49700.pt,uninformed,si,,general,uninformed,PENDIENTE,,,,/home/robcib/Desktop/MARIAM/resultados_tfg/01_pruebas_oficiales/densidad/alta/DENS_ALTA_04,
DENS_ALTA_05,densidad,alta,5,/home/robcib/Desktop/MARIAM/scenarios/nave_densidad_alta.usd,/home/robcib/Desktop/MARIAM/resultados_tfg/00_configuracion/waypoints/waypoints_normal.csv,/home/robcib/g1_labcompatible/unitree_rl_lab/logs/rsl_rl/unitree_g1_29dof_velocity/giro_terrenoirregular/model_49700.pt,uninformed,si,,general,uninformed,PENDIENTE,,,,/home/robcib/Desktop/MARIAM/resultados_tfg/01_pruebas_oficiales/densidad/alta/DENS_ALTA_05,
FRICCION_01,friccion,sin_friccion_configurada,1,/home/robcib/Desktop/MARIAM/scenarios/nave_densidad_alta_sin_friccion.usd,/home/robcib/Desktop/MARIAM/resultados_tfg/00_configuracion/waypoints/waypoints_normal.csv,/home/robcib/g1_labcompatible/unitree_rl_lab/logs/rsl_rl/unitree_g1_29dof_velocity/giro_terrenoirregular/model_49700.pt,uninformed,no,,general,,PENDIENTE,,,,/home/robcib/Desktop/MARIAM/resultados_tfg/01_pruebas_oficiales/friccion/sin_friccion/FRICCION_01,
FRICCION_02,friccion,sin_friccion_configurada,2,/home/robcib/Desktop/MARIAM/scenarios/nave_densidad_alta_sin_friccion.usd,/home/robcib/Desktop/MARIAM/resultados_tfg/00_configuracion/waypoints/waypoints_normal.csv,/home/robcib/g1_labcompatible/unitree_rl_lab/logs/rsl_rl/unitree_g1_29dof_velocity/giro_terrenoirregular/model_49700.pt,uninformed,no,,general,,PENDIENTE,,,,/home/robcib/Desktop/MARIAM/resultados_tfg/01_pruebas_oficiales/friccion/sin_friccion/FRICCION_02,
FRICCION_03,friccion,sin_friccion_configurada,3,/home/robcib/Desktop/MARIAM/scenarios/nave_densidad_alta_sin_friccion.usd,/home/robcib/Desktop/MARIAM/resultados_tfg/00_configuracion/waypoints/waypoints_normal.csv,/home/robcib/g1_labcompatible/unitree_rl_lab/logs/rsl_rl/unitree_g1_29dof_velocity/giro_terrenoirregular/model_49700.pt,uninformed,no,,general,,PENDIENTE,,,,/home/robcib/Desktop/MARIAM/resultados_tfg/01_pruebas_oficiales/friccion/sin_friccion/FRICCION_03,
ZIGZAG_01,mapa_riesgo,zigzag,1,/home/robcib/Desktop/MARIAM/scenarios/nave_densidad_alta.usd,/home/robcib/Desktop/MARIAM/resultados_tfg/00_configuracion/waypoints/waypoints_zigzag.csv,/home/robcib/g1_labcompatible/unitree_rl_lab/logs/rsl_rl/unitree_g1_29dof_velocity/giro_terrenoirregular/model_49700.pt,uninformed,si,,general,,PENDIENTE,,,,/home/robcib/Desktop/MARIAM/resultados_tfg/01_pruebas_oficiales/mapa_riesgo/zigzag/ZIGZAG_01,
ZIGZAG_02,mapa_riesgo,zigzag,2,/home/robcib/Desktop/MARIAM/scenarios/nave_densidad_alta.usd,/home/robcib/Desktop/MARIAM/resultados_tfg/00_configuracion/waypoints/waypoints_zigzag.csv,/home/robcib/g1_labcompatible/unitree_rl_lab/logs/rsl_rl/unitree_g1_29dof_velocity/giro_terrenoirregular/model_49700.pt,uninformed,si,,general,,PENDIENTE,,,,/home/robcib/Desktop/MARIAM/resultados_tfg/01_pruebas_oficiales/mapa_riesgo/zigzag/ZIGZAG_02,
