x,y
9.6,-8.23203452425132
9.6,-9.3
10.1983143668613,-9.41968092537697
11.2552837832758,-9.65371953886387
11.9272542587755,-9.65371953886387
12.6817140269211,-9.65371953886387
13.360829696003,-9.65371953886387
14.1343670576094,-9.65371953886387
14.6974756738854,-10.1206639851788
15.1890355703036,-10.6335829112495
15.9414491423201,-11.2062741270294
16.6985353083349,-11.6674014915241
17.0373565291184,-11.9436180381966
17.1551608314261,-11.6662629891728
16.8504178822418,-11.3559365606305
16.4947047925571,-10.8596344618312
15.9393292209856,-10.3945496014708
15.5917035357261,-9.89202897704304
15.4772592356559,-9.31766634059608
15.3628073385277,-8.68843588314654
15.4202877036995,-8.24377849465427
15.7507249058165,-7.14239809728892
16.0023443866315,-6.33443312375092
15.504700309876,-5.3477491143088
15.0332250836459,-4.87973074490643
14.3218820250382,-4.58503488118341
13.6780013169929,-4.58503488118341
13.4454837204441,-5.43700137834692
13.1972838070453,-6.81162093320858
12.9068348148112,-7.45095320807438
12.337034281748,-7.56189665135351
11.7585483022548,-7.56189665135351
11.3286614947579,-7.56189665135351
10.748088111214,-7.56189665135351
10.03305110065,-7.56189665135351
9.47091629830404,-7.56189665135351
