x,y
9.39562663073721,-11.3022485763008
9.9247438483189,-11.0768500359725
10.5426802299113,-10.8471321310379
10.9980246369435,-10.7367515279955
11.4423002355601,-10.7367515279955
11.7780125696453,-10.7367515279955
12.3132385773673,-10.7367515279955
12.8293758998924,-10.7367515279955
13.1921506182309,-11.0901586269491
13.6085146907348,-11.0901586269491
14.1169458069316,-11.0901586269491
14.5535145724022,-11.3739105822855
15.0623160694362,-11.3739105822855
15.3178441445237,-10.6328158966308
15.4226839924451,-9.75408845148758
15.4226839924451,-9.09942822022854
15.4226839924451,-8.4931577823241
15.4226839924451,-7.89790520944334
14.8947601885668,-7.55543895523791
14.3035365827186,-7.55543895523792
14.1671472433659,-6.88824430571077
13.8239629538111,-6.55990143282568
13.3861687865238,-6.28878136699241
12.7558683889934,-6.20196155516981
12.1741349660077,-6.27733045249741
11.7900943468788,-6.23882173673676
11.217980745968,-6.23882173673676
10.605470412732,-5.96824631648478
9.87227394058812,-5.96824631648478
9.54759328728123,-6.40086664356347
9.04760561264249,-6.56417093408282
8.68507694758001,-7.22741058776889
