x,y
10,-11.2
10.5,-10.8
11,-11.1
11.5,-10.6
12,-11.2
12.5,-10.7
13,-11.1
13.5,-10.8
14,-11.2
14.5,-10.7
15,-10.9
15.3,-10.4
15.6,-10.1
15.3,-9.6
15.6,-9.1
15.3,-8.6
15,-8.2
14.6,-7.9
14.2,-7.4
14,-7.1
13.7,-6.6
13.2,-6.3
12.8,-6
12.3,-6.4
11.8,-6.1
11.3,-6.5
10.9,-6.2
10.4,-6.6
9.9,-6.3
9.4,-6.7
9,-6.5
